date,tag,comment,unit,type,left max weight,right max weight
2024-15-06 17:39:29,test_openhand,end,I,left/right,138.3885529,135.2355886
2024-15-06 17:38:09,test_halfcrimp,end,I,left/right,135.7715811,136.1895817
2024-15-06 17:36:01,test_3FDrag,end,I,left/right,114.5711958,112.4137952
2024-09-06 15:34:06,training_3FDrag,warmup_mc,I,left/right,111.5693924,120.7618825
2024-09-06 15:21:12,training_halfcrimp,warmup_mc,I,left/right,139.2726087,138.5716126
2024-09-06 15:14:47,training_3FDrag,warmup_mc,I,left/right,114.3131780,122.7707211
2024-09-06 15:11:36,training_halfcrimp,warmup_mc,I,left/right,135.0661362,138.2375267
2024-09-06 15:08:55,training_3FDrag,warmup_mc,I,left/right,113.0675020,124.1770948
2024-09-06 15:06:47,training_halfcrimp,warmup,I,left/right,131.4122490,134.7163068
2024-04-06 16:45:10,test_halfcrimp,warmup,I,left/right,97.2723376,105.6032771
2024-30-05 18:42:23,test_halfcrimp,warmup,I,left/right,139.5061451,145.8129818
2024-30-05 18:22:58,test_halfcrimp,warmup,I,left/right,140.5546326,144.3895275
2024-30-05 18:18:42,test_halfcrimp,warmup,I,left/right,136.9397004,138.1965281
2024-30-05 18:16:27,test_3FDrag,warmup,I,left/right,106.1142919,102.0048620
2024-27-05 15:25:10,test_3FDrag,warmup,I,left/right,122.8134185,125.0571979
2024-27-05 15:24:11,test_halfcrimp,warmup,I,left/right,147.3798430,142.6801342
2024-27-05 15:20:58,test_halfcrimp,warmup,I,left/right,140.0712781,145.3580026
2024-27-05 15:18:04,test_3FDrag,warmup,I,left/right,113.8695606,121.6656345
2024-27-05 15:12:03,test_halfcrimp,warmup,I,left/right,143.6571370,147.3998755
2024-27-05 15:01:16,test_halfcrimp,warmup,I,left/right,126.6840389,129.0654307
2024-13-05 19:07:13,test_halfcrimp,mc,I,left/right,130.4502160,133.2875794
2024-13-05 19:04:08,test_halfcrimp,mc,I,left/right,134.0138390,140.0978873
2024-26-03 18:29:12,training_halfcrimp,,I,left/right,148.9357094,158.8358900
2024-26-03 18:24:25,training_halfcrimp,,I,left/right,155.5499810,158.6923487
2024-21-03 18:53:11,test_halfcrimp,session_end,I,left/right,137.4049767,135.3681834
2024-21-03 18:50:11,test_3FDrag,,I,left/right,122.5839137,118.7729283
2024-21-03 18:45:34,test_3FDrag,,I,left/right,115.5028889,122.7230145
2024-19-03 18:02:29,test_halfcrimp,,I,left/right,148.7391052,157.0212079
2024-19-03 17:55:11,test_3FDrag,,I,left/right,126.6943844,141.4582175
2024-17-03 21:20:14,training_halfcrimp,,I,left/right,140.8391623,150.5181018
2024-17-03 21:12:50,training_halfcrimp,,I,left/right,139.2632100,147.1371938
2024-17-03 19:59:39,training_3FDrag,,I,left/right,119.2496394,122.7537702
2024-12-03 21:22:22,training_halfcrimp,,I,left/right,148.9439863,153.6195584
2024-12-03 21:04:47,test_halfcrimp,,I,left/right,148.1597231,156.7187493
2024-06-03 20:55:19,training_3FDrag,,I,left/right,112.0333046,113.8506145
2024-06-03 20:54:05,training_halfcrimp,,I,left/right,142.6602715,151.0692470
2024-27-02 18:29:10,test_halfcrimp,,I,left/right,144.5763048,135.8205106
2024-27-02 18:27:03,test_openhand,,I,left/right,139.9675667,138.4583728
2024-27-02 18:25:37,test_pinch,crimpblock,I,left/right,67.6773078,60.6769472
2024-27-02 18:23:41,test_3FDrag,,I,left/right,113.7357836,120.4734798
2024-25-02 14:56:01,test_openhand,session_mid,I,left/right,134.2318178,132.4543038
2024-25-02 14:54:00,test_3FDrag,session_mid,I,left/right,102.5586173,106.8341104
2024-25-02 14:51:33,test_halfcrimp,session_mid,I,left/right,140.1570102,138.6544517
2024-25-02 13:27:34,test_halfcrimp,session_start,I,left/right,134.9045816,137.0554225
2024-25-02 13:25:04,test_3FDrag,session_start,I,left/right,105.4758753,106.0555492
2024-25-02 13:23:52,test_openhand,session_start,I,left/right,136.1901293,133.5435208
2024-22-02 19:45:24,training_3FDrag,,I,left/right,110.0923951,115.5905545
2024-22-02 18:42:09,training_pinch,,I,left/right,51.1687919,50.0746341
2024-22-02 18:39:52,training_3FDrag,,I,left/right,110.6133043,116.2699664
2024-22-02 18:36:20,training_halfcrimp,,I,left/right,147.0215690,148.8533441
2024-19-02 19:00:20,test_openhand,,I,left/right,125.7486293,129.2503633
2024-19-02 18:58:59,test_3FDrag,,I,left/right,96.4959268,95.5914684
2024-19-02 17:52:49,test_halfcrimp,,I,left/right,137.9729043,134.3535990
2024-19-02 17:51:35,test_openhand,,I,left/right,132.2473646,128.2617126
2024-17-02 11:30:04,test_openhand,,I,left/right,143.6197378,139.3893474
2024-17-02 11:26:11,test_halfcrimp,session_start,I,left/right,145.2168748,148.9210788
2024-07-02 19:25:03,test_openhand,,I,left/right,116.6170345,116.7478095
2024-07-02 19:23:49,test_3FDrag,,I,left/right,80.8026481,87.4555802
2024-07-02 17:16:02,test_halfcrimp,session,I,left/right,149.1408163,142.3795553
2024-07-02 16:58:43,test_halfcrimp,session_start,I,left/right,115.5464576,120.0690271
2024-04-02 19:04:19,training_3FDrag,,I,left/right,93.6614425,97.9448410
2024-04-02 18:58:46,training_3FDrag,,I,left/right,95.8115769,96.3865328
2024-04-02 18:20:10,training_pinch,,I,left/right,47.5558440,47.0874550
2024-04-02 18:13:19,training_pinch,,I,left/right,46.5518788,45.9410755
2024-03-02 15:21:01,test_openhand,,I,left/right,88.5738826,95.3133365
2024-03-02 15:20:07,test_pinch,,I,left/right,44.7355458,47.1993720
2024-03-02 15:17:23,test_pinch,,I,left/right,40.6376880,41.3087614
2024-03-02 14:10:09,test_openhand,,I,left/right,122.7215604,122.7874693
2024-03-02 13:41:50,test_halfcrimp,,I,left/right,135.6138056,133.5669876
2024-30-01 17:16:19,test_openhand,end_session,I,left/right,112.5719058,111.4186806
2024-30-01 17:12:02,test_halfcrimp,end_session,I,left/right,114.1377661,112.0361236
2024-30-01 17:06:04,test_halfcrimp,end_session,I,left/right,109.0280379,108.1729123
2024-17-01 23:52:13,test_halfcrimp,vacation,I,left/right,118.2348877,122.1525031
2024-17-01 23:50:54,test_halfcrimp,vacation,I,left/right,121.3575761,120.4597532
2024-13-01 15:27:41,training_pinch,,I,left/right,50.8161618,46.7728553
2024-13-01 15:22:58,training_pinch,,I,left/right,47.8171168,47.0694707
2024-13-01 15:20:25,training_openhand,,I,left/right,136.8501164,153.3656282
2024-13-01 15:13:51,training_halfcrimp,,I,left/right,142.6036782,140.9498833
2024-13-01 15:05:30,training_openhand,,I,left/right,135.8920949,150.4711695
2024-13-01 15:02:01,training_halfcrimp,,I,left/right,141.5270257,133.9511416
2024-09-01 19:23:23,training_halfcrimp,,I,left/right,137.6732770,137.5566224
2024-09-01 19:22:25,training_halfcrimp,,I,left/right,145.0066765,140.3991411
2024-09-01 18:39:57,training_openhand,,I,left/right,110.0883554,112.0903566
2024-09-01 18:38:36,training_halfcrimp,,I,left/right,132.9404920,139.7589912
2024-07-01 20:02:29,test_halfcrimp,,I,left/right,117.7762275,128.5050758
2024-07-01 19:59:05,test_halfcrimp,,I,left/right,131.9444247,139.4037214
2024-07-01 18:21:22,test_halfcrimp,,I,left/right,128.1541311,138.7313898
2024-04-01 16:41:27,training_halfcrimp,,I,left/right,128.8392717,130.4023063
